wavelength_um,snr
1.211540989945862234e+00,1.274723030832253734e+01
1.211557424593967314e+00,1.275491597015739309e+01
1.211573859242072615e+00,1.276332795811179466e+01
1.211590293890177694e+00,1.277106637720839188e+01
1.211606728538282995e+00,1.277697384533614233e+01
1.211623163186388075e+00,1.278288001501551818e+01
1.211639597834493376e+00,1.278850962113513390e+01
1.211656032482598455e+00,1.279407386464060181e+01
1.211672467130703756e+00,1.280113497542110856e+01
1.211688901778808836e+00,1.281092556167369167e+01
1.211705336426914137e+00,1.282071924048842781e+01
1.211721771075019216e+00,1.283110530963824125e+01
1.211738205723124295e+00,1.284156281532638566e+01
1.211754640371229597e+00,1.285047740290248264e+01
1.211771075019334676e+00,1.285741960158030217e+01
1.211787509667439977e+00,1.286436168588280182e+01
1.211803944315545278e+00,1.286898643786880925e+01
1.211820378963650358e+00,1.287356524981093209e+01
1.211836813611755437e+00,1.287963769438972150e+01
1.211853248259860738e+00,1.288706956550444538e+01
1.211869682907965817e+00,1.289463029603251698e+01
1.211886117556071119e+00,1.290400951170814459e+01
1.211902552204176198e+00,1.291339134118217480e+01
1.211918986852281277e+00,1.292084233097137336e+01
1.211935421500386578e+00,1.292704700340875412e+01
1.211951856148491879e+00,1.293355967202897006e+01
1.211968290796596959e+00,1.294182263631389418e+01
1.211984725444702260e+00,1.295008696914014656e+01
1.212001160092807339e+00,1.295721082995107132e+01
1.212017594740912418e+00,1.296382602916003002e+01
1.212034029389017720e+00,1.297043969425463672e+01
1.212050464037122799e+00,1.297704943138788991e+01
1.212066898685228100e+00,1.298365867841548926e+01
1.212083333333333179e+00,1.298904372371409011e+01
1.212099767981438259e+00,1.299407233730600630e+01
1.212116202629543560e+00,1.299982831286640739e+01
1.212132637277648861e+00,1.300715543279500430e+01
1.212149071925753940e+00,1.301448287354896749e+01
1.212165506573859242e+00,1.302354149308770026e+01
1.212181941221964321e+00,1.303288744253737264e+01
1.212198375870069400e+00,1.304089115566161183e+01
1.212214810518174701e+00,1.304687864804705200e+01
1.212231245166279781e+00,1.305286494934052399e+01
1.212247679814384860e+00,1.305835986358704304e+01
1.212264114462490383e+00,1.306382254054047820e+01
1.212280549110595462e+00,1.306876915149356400e+01
1.212296983758700542e+00,1.307316221149444146e+01
1.212313418406805843e+00,1.307769838439156196e+01
1.212329853054910922e+00,1.308817741849299132e+01
1.212346287703016001e+00,1.309866022052113266e+01
1.212362722351121302e+00,1.310896517643945813e+01
1.212379156999226382e+00,1.311913389930058571e+01
1.212395591647331683e+00,1.312886186986483672e+01
1.212412026295436762e+00,1.313485314321361308e+01
1.212428460943542063e+00,1.314084323420010136e+01
1.212444895591647143e+00,1.314777921695099394e+01
1.212461330239752444e+00,1.315523161704537358e+01
1.212477764887857523e+00,1.316166645722586992e+01
1.212494199535962824e+00,1.316370495264178153e+01
1.212510634184067904e+00,1.316573773172022577e+01
1.212527068832172983e+00,1.317056444570034124e+01
1.212543503480278284e+00,1.317643032991144025e+01
1.212559938128383363e+00,1.318410991730211457e+01
1.212576372776488665e+00,1.319670799977059694e+01
1.212592807424593966e+00,1.320931204879364174e+01
1.212609242072699045e+00,1.321779081307166237e+01
1.212625676720804124e+00,1.322530346789132771e+01
1.212642111368909426e+00,1.323317174970371468e+01
1.212658546017014505e+00,1.324169828224346546e+01
1.212674980665119806e+00,1.325022643578462578e+01
1.212691415313224885e+00,1.325748507149120492e+01
1.212707849961329964e+00,1.326458893681516393e+01
1.212724284609435266e+00,1.327093750675855865e+01
1.212740719257540567e+00,1.327629081227809493e+01
1.212757153905645646e+00,1.328164223147412137e+01
